Iterations;PopulationSize;Pc;Pm;Pi;ElapsedMilliseconds;BestGen;BestFitness
50000;20;0,9;0,3;0,05;25638;40074;705
50000;20;0,9;0,3;0,1;25862;49109;631
50000;20;0,9;0,3;0,2;25836;48045;703
50000;20;0,9;0,5;0,05;26047;39986;762
50000;20;0,9;0,5;0,1;25974;48876;806
50000;20;0,9;0,5;0,2;26031;47360;820
50000;20;0,7;0,1;0,05;22474;18941;644
50000;20;0,7;0,1;0,1;22414;45921;686
50000;20;0,7;0,1;0,2;22452;11286;692
50000;20;0,7;0,3;0,05;22533;49016;669
50000;20;0,7;0,3;0,1;22473;24134;650
50000;20;0,7;0,3;0,2;22568;27663;639
50000;20;0,7;0,5;0,05;22882;33432;757
50000;20;0,7;0,5;0,1;22912;24800;751
50000;20;0,7;0,5;0,2;22942;45872;823
50000;20;0,5;0,1;0,05;19474;27058;632
50000;20;0,5;0,1;0,1;19507;19192;626
50000;20;0,5;0,1;0,2;19473;47071;672
50000;20;0,5;0,3;0,05;19633;44148;665
50000;20;0,5;0,3;0,1;19580;39582;639
50000;20;0,5;0,3;0,2;19850;40171;634
50000;20;0,5;0,5;0,05;19960;49970;709
50000;20;0,5;0,5;0,1;19901;48372;713
50000;20;0,5;0,5;0,2;19987;44365;672
50000;50;0,9;0,1;0,05;63182;31106;672
50000;50;0,9;0,1;0,1;63590;48399;672
50000;50;0,9;0,1;0,2;63548;14741;695
50000;50;0,9;0,3;0,05;64411;24339;617
50000;50;0,9;0,3;0,1;64931;42758;704
50000;50;0,9;0,3;0,2;65247;47725;693
50000;50;0,9;0,5;0,05;65631;48394;772
50000;50;0,9;0,5;0,1;65267;49744;802
50000;50;0,9;0,5;0,2;65748;49039;773
50000;50;0,7;0,1;0,05;55682;6964;649
50000;50;0,7;0,1;0,1;56469;46517;680
50000;50;0,7;0,1;0,2;56016;33173;664
50000;50;0,7;0,3;0,05;56773;29455;688
50000;50;0,7;0,3;0,1;56655;38319;663
50000;50;0,7;0,3;0,2;57142;46990;629
50000;50;0,7;0,5;0,05;57617;49978;861
50000;50;0,7;0,5;0,1;57887;49059;750
50000;50;0,7;0,5;0,2;57857;49633;693
50000;50;0,5;0,1;0,05;48739;19708;660
50000;50;0,5;0,1;0,1;48942;42359;613
50000;50;0,5;0,1;0,2;48597;41880;637
50000;50;0,5;0,3;0,05;49153;20724;616
50000;50;0,5;0,3;0,1;49087;48731;662
50000;50;0,5;0,3;0,2;49338;24131;593
50000;50;0,5;0,5;0,05;50042;48002;654
50000;50;0,5;0,5;0,1;49880;44735;705
50000;50;0,5;0,5;0,2;50130;49662;659
50000;100;0,9;0,1;0,05;127260;36373;605
50000;100;0,9;0,1;0,1;127179;38164;601
50000;100;0,9;0,1;0,2;127489;48485;642
50000;100;0,9;0,3;0,05;127722;2013;570
